ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
1,B1,B001,65,,,avadhani1975;brosius1986;harrison1949;kedit1982;oldrey1975;sellato1994;urquhart1951,,1970,Binford_2001_Table_5.01,
2,B10,B001,65,,,bailey1863;seligmannandseligmann1911;skeatandblagden1906;spittel1945,,1900,Binford_2001_Table_5.01,
3,B100,B001,60,,,blundell1975;blundell1980;love1917;love1936,,,Binford_2001_Table_5.01,
4,B101,B001,60,,,kaberry1939,,1934,Binford_2001_Table_5.01,
5,B102,B001,35,,,memmott1983a;memmott1983b,,1909,Binford_2001_Table_5.01,
6,B103,B001,13,,,tindale1962a;tindale1962b,,1928,Binford_2001_Table_5.01,
7,B104,B001,55,,,,,,Binford_2001_Table_5.01,
8,B105,B001,68,,,birdsell1967;harris1978;harris1982;roth1909,,1900,Binford_2001_Table_5.01,
9,B106,B001,55,,,clement1903;radcliffebrown1912,,1910,Binford_2001_Table_5.01,
10,B107,B001,24,,,brayshaw1990;lumholtz1889,,1870,Binford_2001_Table_5.01,
11,B108,B001,65,,,kaberry1939;nind1831,,1934,Binford_2001_Table_5.01,
12,B109,B001,70,,,abbie1957;meggitt1962;meggittperscomm1973,,1965,Binford_2001_Table_5.01,
13,B11,B001,82,,,morris1982a,,1972,Binford_2001_Table_5.01,
14,B110,B001,65,,,petersonandlong1986;tonkinson1978,,1880,Binford_2001_Table_5.01,
15,B111,B001,70,,,harris1978;petersonandlong1986,,1960,Binford_2001_Table_5.01,
16,B112,B001,80,,,petersonandlong1986,,1968,Binford_2001_Table_5.01,
17,B113,B001,65,,,campbelletal1936;gargettandhayden1991;haydenperscomm1990;haydenperscomm1992;long1970;long1971;meggitt1962;myers1986;petersonandlong1986,,1936,Binford_2001_Table_5.01,
18,B114,B001,20,,,colliverandwoolston1975,,1848,Binford_2001_Table_5.01,
19,B115,B001,55,,,morwood1987;winterbotham1980,,1840,Binford_2001_Table_5.01,
20,B116,B001,65,,,duncankemp1964,,1900,Binford_2001_Table_5.01,
21,B117,B001,65,,,binfordfieldnotes1974;campbelletal1936;denham1975;oconnell1987,,1965,Binford_2001_Table_5.01,
